IDS,Income,Solar energy,Num of members,Energy usage
0,8,0,4,1
1,2,0,2,3
2,2,0,4,4
3,3,0,1,3
4,3,0,3,1
5,1,-2,1,1
6,4,-2,1,1
7,3,0,2,3
8,5,0,4,3
9,6,0,4,4
10,3,0,1,1
11,1,0,1,3
12,2,0,1,4
13,2,-2,2,2
14,6,0,5,4
15,7,-2,5,4
16,2,0,2,3
17,3,-2,6,1
18,4,0,2,1
19,6,0,3,2
20,6,0,2,1
21,3,0,4,4
22,2,0,2,1
23,2,-2,1,2
24,5,0,6,3
25,6,0,1,3
26,3,0,2,3
27,3,0,2,3
28,1,0,2,3
29,2,0,1,3
30,3,0,2,3
31,1,0,2,2
32,1,-2,1,1
33,3,-2,1,2
34,5,0,1,3
35,3,0,2,1
36,2,0,3,4
37,2,0,2,2
38,3,1,1,1
39,1,0,3,4
40,7,0,5,4
41,1,0,1,4
42,8,0,2,3
43,4,-2,3,1
44,8,0,2,2
45,5,0,3,1
46,6,0,2,2
47,1,0,6,4
48,4,0,5,4
49,2,0,2,3
50,1,0,2,4
51,3,0,5,3
52,1,0,1,1
53,5,0,2,2
54,6,0,1,1
55,7,0,2,4
56,4,0,1,1
57,4,0,6,3
58,4,0,3,1
59,3,0,1,3
60,5,0,4,2
61,1,-2,1,3
62,1,0,1,1
63,4,0,6,3
64,1,-2,1,2
65,2,0,1,1
66,5,0,4,2
67,8,0,3,2
68,3,0,2,4
69,2,0,2,2
70,2,0,4,1
71,3,-2,2,1
72,6,0,5,3
73,8,0,4,4
74,2,0,4,3
75,4,0,2,3
76,6,0,3,3
77,2,0,5,4
78,7,0,2,4
79,8,0,2,3
80,1,-2,1,2
81,6,0,2,4
82,8,0,4,4
83,5,0,8,2
84,3,-2,3,2
85,6,0,2,1
86,3,0,1,2
87,5,0,4,4
88,2,0,1,1
89,2,0,3,3
90,8,0,4,2
91,7,0,5,3
92,2,0,2,4
93,2,0,1,1
94,3,0,5,4
95,2,0,3,1
96,3,0,5,2
97,8,0,2,3
98,2,0,1,4
99,2,0,1,3
100,1,0,1,1
101,5,-2,4,2
102,6,1,5,4
103,5,0,2,4
104,1,0,6,3
105,8,0,2,3
106,7,0,4,4
